check,status,detail,final_verdict
production_population,PASS,10000 rows; expected 10000,OUTCOME_CAPTURE_REQUIRED_BEFORE_V7_V8_EVALUATION
target_population,PASS,500 TARGET; expected 500,OUTCOME_CAPTURE_REQUIRED_BEFORE_V7_V8_EVALUATION
retry_all_population,PASS,9500 RETRY_ALL; expected 9500,OUTCOME_CAPTURE_REQUIRED_BEFORE_V7_V8_EVALUATION
intervention_rate,PASS,5.000000%,OUTCOME_CAPTURE_REQUIRED_BEFORE_V7_V8_EVALUATION
artificial_outcomes,PASS,No artificial outcomes created,OUTCOME_CAPTURE_REQUIRED_BEFORE_V7_V8_EVALUATION
artificial_transaction_ids,PASS,No artificial transaction IDs created,OUTCOME_CAPTURE_REQUIRED_BEFORE_V7_V8_EVALUATION
calibration_separation,PASS,Calibration predictions are not treated as production outcomes,OUTCOME_CAPTURE_REQUIRED_BEFORE_V7_V8_EVALUATION
oracle_decision_usage,PASS,"Oracle/evaluation columns detected but not used to create production decisions: oracle_control_value, oracle_treatment_value, oracle_incremental_value",OUTCOME_CAPTURE_REQUIRED_BEFORE_V7_V8_EVALUATION
production_outcome_linkage,WARN,No legitimate production outcomes matched yet,OUTCOME_CAPTURE_REQUIRED_BEFORE_V7_V8_EVALUATION
