strategy,transactions,interventions,intervention_rate,recovered_payments,recovered_value,recovery_rate_value,recovery_rate_count,intervention_cost,friction_cost,net_recovered_value,recovery_per_intervention,net_per_intervention
RETRY_ALL,2904,2904,100.0,2156,4865371.32,72.10937241305139,74.24242424242425,4356.0,726.0,4860289.32,1675.403347107438,1673.653347107438
RANDOM_SELECTIVE,2904,2209,76.06749311294766,2001,4578368.13,67.8557155901136,90.58397464916251,3313.5,552.25,4574502.38,2072.5976143051153,2070.8476143051153
ECONOMIC_RECLAIM,2904,2236,76.99724517906336,1821,4023689.47,59.63485690681124,81.44007155635063,2623.5,924.25,4020141.72,1799.50334078712,1797.9166905187835
